topic,n_samples,n_bg_docs,cos_bart_to_bg,cos_samples_to_bg_mean,cos_samples_to_bg_sem
Health,100,1000,0.8894356132616803,0.7667785056556196,0.00929305857614088
Nature,100,1000,0.9083920848547155,0.8076410773267294,0.005206984711901916
Politics,100,1000,1.0017851715843145,0.9360739361428863,0.008615477651232377
Sport,100,1000,0.9356374017510641,0.8812582517348805,0.006020560097473071
Universe,100,1000,1.1161922661886876,0.9964132580719938,0.007661895807034228
