target,predictor,n,spearman_rho,spearman_p,partial_rho__control_baseline_similarity,partial_p__control_baseline_similarity,partial_n__control_baseline_similarity,spearman_q_fdr_bh,partial_q_fdr_bh
forgetting_rate_minus_slope,concrete_vs_abstract__original,500,0.16067423103704281,0.0003094525183605047,0.18039220956883828,4.972294576957932e-05,500,0.005879597848849589,0.0009447359696220071
forgetting_rate_minus_slope,concrete_vs_abstract__drift_consolidated_minus_original,500,-0.13674892049300344,0.0021799492205932065,-0.16396577586310346,0.0002312668503180095,500,0.02070951759563546,0.00219703507802109
forgetting_rate_minus_slope,specific_vs_general__original,500,0.12368055343231227,0.005617702721612266,0.15026584906339624,0.000749516687938271,500,0.03557878390354435,0.00474693902360905
forgetting_rate_minus_slope,rich_vs_poor_details__original,500,0.11842629576354521,0.008030168410657717,0.13805844023376093,0.0019735560900298816,500,0.038143299950624154,0.007499513142113549
forgetting_rate_minus_slope,rich_vs_poor_details__drift_consolidated_minus_original,500,-0.11457093689621006,0.010349751049063704,-0.1425811143244573,0.0013906862608734356,500,0.03932905398644208,0.0066057597391488195
forgetting_rate_minus_slope,type_token_ratio,500,-0.10314949154359164,0.021061720429014025,-0.05512975651902607,0.218476453184068,500,0.06669544802521109,0.5188815763121615
forgetting_rate_minus_slope,rich_vs_poor_details__imagined,500,0.08297925985272933,0.06373528276488562,0.0019498637994551976,0.9653099832115679,500,0.17299576750468953,0.9653099832115678
forgetting_rate_minus_slope,specific_vs_general__drift_consolidated_minus_original,500,-0.07696288180458662,0.0855805662076955,-0.12515339661358646,0.005070234077798044,500,0.17504949367838535,0.016055741246360472
forgetting_rate_minus_slope,mean_log10_wordfreq,500,-0.07630177720710882,0.0883111196376299,-0.02804680018720074,0.5315124265071001,500,0.17504949367838535,0.8415613419695752
forgetting_rate_minus_slope,concrete_vs_abstract__imagined,500,0.07540388959682157,0.09213131246230807,-0.011633998535994143,0.7952481020831824,500,0.17504949367838535,0.8888067023282628
forgetting_rate_minus_slope,specific_vs_general__imagined,500,0.06060932525064805,0.17601798293384185,-0.01928705314821259,0.6670267269612044,500,0.3040310614311814,0.8888067023282628
forgetting_rate_minus_slope,semantic_diversity,500,-0.046857787431149725,0.2956884755622204,0.06110693242772971,0.17248959552103327,500,0.4681734196401823,0.46818604498566174
forgetting_rate_minus_slope,concrete_vs_abstract__encoded,500,0.038227293204716635,0.3936811387729354,0.046383737534950134,0.3006067159237951,500,0.5751270454716277,0.6346141780613452
forgetting_rate_minus_slope,specific_vs_general__consolidated,500,0.035850142891744104,0.42377782297909417,0.012965427861711447,0.772426562384593,500,0.5751270454716277,0.8888067023282628
forgetting_rate_minus_slope,rich_vs_poor_details__encoded,500,0.03176187337383522,0.4785613832422986,0.03324771699086797,0.4582170634821541,500,0.6061777521069115,0.7914658369237206
forgetting_rate_minus_slope,concrete_vs_abstract__consolidated,500,0.028939246442448295,0.5185275326785963,0.013893079572318287,0.7566399543244404,500,0.6136927965098768,0.8888067023282628
forgetting_rate_minus_slope,specific_vs_general__encoded,500,0.026855798671652654,0.5490935547719951,0.037175860703442816,0.4068307636533921,500,0.6136927965098768,0.772978450941445
forgetting_rate_minus_slope,word_count,500,0.0221540674440456,0.6211643831241626,-0.02468525074100296,0.5818521183537676,500,0.6556735155199493,0.8503992499016604
forgetting_rate_minus_slope,rich_vs_poor_details__consolidated,500,0.01648070297693312,0.7131548623709039,-0.004072048288193153,0.9276306536488979,500,0.7131548623709039,0.9653099832115678
