topic,epoch,temperature,n_samples,n_bg_docs,cos_bart_to_bg,cos_samples_to_bg_mean,cos_samples_to_bg_sem
Health,10,0.1,5,1000,0.8887316957116127,0.6280433416366578,0.030866157184988828
Nature,10,0.1,5,1000,0.9043594375252724,0.9043594375252724,0.0
Politics,10,0.1,5,1000,0.9951028153300285,0.9951028153300285,0.0
Sport,10,0.1,5,1000,0.9366772547364235,0.936189953237772,0.006986256348000847
Universe,10,0.1,5,1000,1.1261730641126633,1.1300128757953645,0.006522297301967069
