topic,epoch,temperature,n_samples,n_bg_docs,cos_bart_to_bg,cos_samples_to_bg_mean,cos_samples_to_bg_sem
Health,5,0.5,5,1000,0.8887316957116127,0.7463953942060471,0.03517550118457666
Nature,5,0.5,5,1000,0.9043594375252724,0.8241574704647064,0.031388828526750484
Politics,5,0.5,5,1000,0.9951028153300285,0.9232554391026497,0.04379091047618997
Sport,5,0.5,5,1000,0.9366772547364235,0.8835793800652028,0.025772993338374277
Universe,5,0.5,5,1000,1.1261730641126633,1.0063669692724944,0.012542787767444278
