topic,epoch,temperature,n_samples,n_bg_docs,cos_bart_to_bg,cos_samples_to_bg_mean,cos_samples_to_bg_sem
Health,5,0.1,5,1000,0.8887316957116127,0.783387279510498,0.02934074844439752
Nature,5,0.1,5,1000,0.9043594375252724,0.8302876800298691,0.019596681649694542
Politics,5,0.1,5,1000,0.9951028153300285,0.9762027129530907,0.0364173333369209
Sport,5,0.1,5,1000,0.9366772547364235,0.8562019556760788,0.004189151505637116
Universe,5,0.1,5,1000,1.1261730641126633,1.0122821390628816,0.03198367436984204
