epoch,mean,sem,n
1,0.8206207446425166,0.00965846680881329,50
2,0.7868566745415183,0.009147706300274673,50
3,0.7775049426323245,0.011607796782628403,50
4,0.7656345994096945,0.015336385973034517,50
5,0.7651054217339412,0.01577083052234446,50
6,0.6870188665128427,0.027334542625066738,50
7,0.6428548266186986,0.029735265854520784,50
8,0.5135008935572388,0.03570933525886344,50
9,0.39809519881209404,0.039133937435915096,50
10,0.3168995280179154,0.03954869089290676,50
