temp,mean,sem,n
0.0,0.15541401273885352,0.15541401273885352,5
0.1,0.3453461524969576,0.04374930411358851,50
0.5,0.3168995280179154,0.03954869089290676,50
1.0,0.5758597496574932,0.031292768146873304,50
1.5,0.7673706442217274,0.014636952547939173,50
