series,Zipf frequency,Density
Original,0.0,0.002435721975699185
Original,0.01669449081803005,0.0024321713849979163
Original,0.0333889816360601,0.002421454124479291
Original,0.050083472454090144,0.002403667925509905
Original,0.0667779632721202,0.0023789729926637754
Original,0.08347245409015025,0.0023475897422625845
Original,0.10016694490818029,0.0023097956873351405
Original,0.11686143572621034,0.0022659215338933143
Original,0.1335559265442404,0.00221634656888956
Original,0.15025041736227043,0.0021614934335833906
Original,0.1669449081803005,0.002101822386976808
Original,0.18363939899833054,0.002037825172233
Original,0.20033388981636058,0.0019700186044032775
Original,0.21702838063439064,0.001898938000275469
Original,0.23372287145242068,0.001825130570731063
Original,0.25041736227045075,0.0017491488927518506
Original,0.2671118530884808,0.0016715445723221522
Original,0.2838063439065108,0.0015928622011747065
Original,0.30050083472454087,0.0015136336999327857
Original,0.31719532554257096,0.0014343731280640332
Original,0.333889816360601,0.00135557202757489
Original,0.35058430717863104,0.001277695352953792
Original,0.3672787979966611,0.0012011780249396033
Original,0.3839732888146911,0.0011264221306682056
Original,0.40066777963272115,0.001053794778035033
Original,0.41736227045075125,0.000983626598075887
Original,0.4340567612687813,0.000916210876144092
Original,0.4507512520868113,0.0008518032809325558
Original,0.46744574290484137,0.000790622150184699
Original,0.4841402337228714,0.0007328492834304402
Original,0.5008347245409015,0.0006786311853852706
Original,0.5175292153589315,0.000628080698815118
Original,0.5342237061769616,0.0005812789626937204
Original,0.5509181969949917,0.0005382776303056242
Original,0.5676126878130217,0.0004991012824723913
Original,0.5843071786310517,0.00046374997315634805
Original,0.6010016694490817,0.0004322018481456589
Original,0.6176961602671118,0.000404415782141121
Original,0.6343906510851419,0.0003803339851253937
Original,0.6510851419031719,0.0003598845351660583
Original,0.667779632721202,0.00034298380154935856
Original,0.684474123539232,0.00032953872913129987
Original,0.7011686143572621,0.000319448961807648
Original,0.7178631051752922,0.00031260878984228194
Original,0.7345575959933222,0.0003089089122736719
Original,0.7512520868113522,0.00030823801158674454
Original,0.7679465776293822,0.00031048414316463995
Original,0.7846410684474123,0.0003155359466239197
Original,0.8013355592654423,0.00032328368991987785
Original,0.8180300500834724,0.00033362016004788333
Original,0.8347245409015025,0.00034644141625307884
Original,0.8514190317195325,0.0003616474229123987
Original,0.8681135225375626,0.00037914257971243014
Original,0.8848080133555926,0.0003988361664786803
Original,0.9015025041736227,0.00042064271909917977
Original,0.9181969949916527,0.0004444823515256837
Original,0.9348914858096827,0.0004702810369374861
Original,0.9515859766277128,0.000497970858931353
Original,0.9682804674457428,0.0005274902411742568
Original,0.9849749582637729,0.0005587841614405404
Original,1.001669449081803,0.0005918043534635296
Original,1.018363939899833,0.0006265094976670595
Original,1.035058430717863,0.000662865399696433
Original,1.0517529215358932,0.0007008451538183253
Original,1.0684474123539232,0.0007404292867656607
Original,1.0851419031719531,0.0007816058765087619
Original,1.1018363939899833,0.0008243706397611253
Original,1.1185308848080133,0.0008687269817803301
Original,1.1352253756260433,0.0009146860021862106
Original,1.1519198664440733,0.0009622664510554073
Original,1.1686143572621035,0.0010114946304143472
Original,1.1853088480801335,0.0010624042373774715
