series,Zipf frequency,Density
Original,0.0,0.0004760904993881147
Original,0.01669449081803005,0.00047547993962424577
Original,0.0333889816360601,0.00047348559775665
Original,0.050083472454090144,0.0004701286379800351
Original,0.0667779632721202,0.00046544264535693114
Original,0.08347245409015025,0.0004594732024946916
Original,0.10016694490818029,0.0004522772992200492
Original,0.11686143572621034,0.00044392258746671354
Original,0.1335559265442404,0.0004344864965643973
Original,0.15025041736227043,0.00042405522668769184
Original,0.1669449081803005,0.0004127226403292134
Original,0.18363939899833054,0.0004005890732571071
Original,0.20033388981636058,0.0003877600874721022
Original,0.21702838063439064,0.0003743451891803067
Original,0.23372287145242068,0.00036045653474806624
Original,0.25041736227045075,0.00034620764702386576
Original,0.2671118530884808,0.00033171216333388386
Original,0.2838063439065108,0.0003170826349303411
Original,0.30050083472454087,0.0003024293957544099
Original,0.31719532554257096,0.00028785951613649407
Original,0.333889816360601,0.0002734758545706868
Original,0.35058430717863104,0.00025937621804546007
Original,0.3672787979966611,0.00024565263866822563
Original,0.3839732888146911,0.00023239077156468775
Original,0.40066777963272115,0.00021966941633802395
Original,0.41736227045075125,0.00020756016180459826
Original,0.4340567612687813,0.00019612715134068054
Original,0.4507512520868113,0.0001854269640273908
Original,0.46744574290484137,0.0001755086049071549
Original,0.4841402337228714,0.0001664135960915278
Original,0.5008347245409015,0.00015817615920333226
Original,0.5175292153589315,0.00015082347870089196
Original,0.5342237061769616,0.0001443760350137411
Original,0.5509181969949917,0.00013884799610367477
Original,0.5676126878130217,0.00013424765603057564
Original,0.5843071786310517,0.0001305779093212929
Original,0.6010016694490817,0.00012783675037927075
Original,0.6176961602671118,0.0001260177877971866
Original,0.6343906510851419,0.00012511076420755298
Original,0.6510851419031719,0.00012510207319028652
Original,0.667779632721202,0.00012597526571625302
Original,0.684474123539232,0.0001277115396089345
Original,0.7011686143572621,0.00013029020652329762
Original,0.7178631051752922,0.00013368913194634492
Original,0.7345575959933222,0.00013788514469685386
Original,0.7512520868113522,0.00014285441332608317
Original,0.7679465776293822,0.00014857278768482747
Original,0.7846410684474123,0.00015501610471720513
Original,0.8013355592654423,0.00016216045826361134
Original,0.8180300500834724,0.00016998243330289435
Original,0.8347245409015025,0.00017845930563787005
Original,0.8514190317195325,0.00018756920853096607
Original,0.8681135225375626,0.000197291268231286
Original,0.8848080133555926,0.0002076057107040106
Original,0.9015025041736227,0.00021849394218083966
Original,0.9181969949916527,0.00022993860639852567
Original,0.9348914858096827,0.00024192362158295794
Original,0.9515859766277128,0.0002544342003693576
Original,0.9682804674457428,0.000267456855924605
Original,0.9849749582637729,0.00028097939755488647
Original,1.001669449081803,0.00029499091903956496
Original,1.018363939899833,0.00030948178282981433
Original,1.035058430717863,0.0003244436030879728
Original,1.0517529215358932,0.00033986923032212126
Original,1.0684474123539232,0.00035575274009295895
Original,1.0851419031719531,0.00037208942794172316
Original,1.1018363939899833,0.00038887581231612144
Original,1.1185308848080133,0.00040610964686601365
Original,1.1352253756260433,0.0004237899430542552
Original,1.1519198664440733,0.0004419170035953952
Original,1.1686143572621035,0.00046049246681230144
Original,1.1853088480801335,0.00047951936160604624
Original,1.2020033388981635,0.0004990021723856799
Original,1.2186978297161937,0.0005189469130200422
Original,1.2353923205342237,0.0005393612086700847
Original,1.2520868113522536,0.0005602543842518691
Original,1.2687813021702838,0.0005816375582792086
Original,1.2854757929883138,0.0006035237409481082
Original,1.3021702838063438,0.0006259279355558402
Original,1.3188647746243738,0.0006488672426934859
Original,1.335559265442404,0.0006723609671041202
Original,1.352253756260434,0.0006964307276466001
Original,1.368948247078464,0.0007211005714276253
Original,1.3856427378964942,0.000746397093839663
Original,1.4023372287145242,0.0007723495669401365
Original,1.4190317195325541,0.0007989900792972752
Original,1.4357262103505843,0.0008263536910757901
Original,1.4524207011686143,0.0008544786087058946
Original,1.4691151919866443,0.0008834063839371667
Original,1.4858096828046743,0.0009131821423911277
Original,1.5025041736227045,0.0009438548468618344
Original,1.5191986644407345,0.0009754776005463173
Original,1.5358931552587645,0.001008107995094899
Original,1.5525876460767947,0.0010418085078396813
Original,1.5692821368948247,0.001076646951780324
Original,1.5859766277128546,0.0011126969808787374
Original,1.6026711185308846,0.0011500386519452635
Original,1.6193656093489148,0.0011887590429040967
Original,1.6360601001669448,0.0012289529255270978
Original,1.6527545909849748,0.001270723488853088
Original,1.669449081803005,0.0013141831075007531
Original,1.686143572621035,0.0013594541469799846
Original,1.702838063439065,0.0014066697959562921
Original,1.7195325542570952,0.0014559749132783235
Original,1.7362270450751252,0.0015075268754929805
Original,1.7529215358931551,0.0015614964086045422
Original,1.7696160267111851,0.001618068386040614
Original,1.7863105175292153,0.001677442573225867
Original,1.8030050083472453,0.0017398342978925132
Original,1.8196994991652753,0.001805475024327039
Original,1.8363939899833055,0.0018746128092181256
Original,1.8530884808013355,0.0019475126166772988
Original,1.8697829716193655,0.0020244564703933597
Original,1.8864774624373957,0.0021057434217888684
Original,1.9031719532554257,0.002191689314499244
Original,1.9198664440734556,0.0022826263275113243
Original,1.9365609348914856,0.002378902281886552
Original,1.9532554257095158,0.002480879699151612
Original,1.9699499165275458,0.002588934603152102
Original,1.9866444073455758,0.002703455061402371
Original,2.003338898163606,0.002824839466685525
Original,2.020033388981636,0.002953494564801227
Original,2.036727879799666,0.0030898332398536774
Original,2.053422370617696,0.003234272074222893
Original,2.070116861435726,0.0033872287062680327
Original,2.0868113522537564,0.0035491190147462605
Original,2.1035058430717863,0.003720354164760858
Original,2.1202003338898163,0.003901337555631567
Original,2.1368948247078463,0.004092461716250557
Original,2.1535893155258763,0.0042941051980879075
Original,2.1702838063439063,0.004506629519877535
Original,2.1869782971619363,0.004730376220984011
Original,2.2036727879799667,0.004965664082373333
Original,2.2203672787979967,0.005212786574839695
Original,2.2370617696160267,0.005472009593560328
Original,2.2537562604340566,0.005743569536058216
Original,2.2704507512520866,0.006027671777183308
Original,2.2871452420701166,0.006324489589745104
Original,2.3038397328881466,0.006634163552947247
Original,2.320534223706177,0.006956801482842162
Original,2.337228714524207,0.007292478909736506
Original,2.353923205342237,0.0076412401169772045
Original,2.370617696160267,0.008003099744029966
Original,2.387312186978297,0.008378044944455681
Original,2.404006677796327,0.008766038076579871
Original,2.4207011686143574,0.009167019891640602
Original,2.4373956594323873,0.009580913171343951
Original,2.4540901502504173,0.010007626754401
Original,2.4707846410684473,0.010447059880154637
Original,2.4874791318864773,0.010899106767180878
Original,2.5041736227045073,0.011363661336138491
Original,2.5208681135225373,0.011840621979465654
Original,2.5375626043405677,0.012329896276073707
Original,2.5542570951585977,0.012831405547203818
Original,2.5709515859766277,0.013345089150280777
Original,2.5876460767946576,0.013870908411000808
Original,2.6043405676126876,0.014408850100076396
Original,2.6210350584307176,0.014958929369952256
Original,2.6377295492487476,0.015521192078254236
Original,2.654424040066778,0.01609571643850778
Original,2.671118530884808,0.016682613954431474
Original,2.687813021702838,0.01728202961147671
Original,2.704507512520868,0.017894141317777775
Original,2.721202003338898,0.01851915860577651
Original,2.737896494156928,0.019157320624918726
Original,2.754590984974958,0.01980889347442158
Original,2.7712854757929883,0.020474166942560428
Original,2.7879799666110183,0.02115345073470401
Original,2.8046744574290483,0.02184707028584715
Original,2.8213689482470783,0.02255536226424082
Original,2.8380634390651083,0.023278669880462625
Original,2.8547579298831383,0.024017338120634855
Original,2.8714524207011687,0.024771709023281487
Original,2.8881469115191987,0.025542117116454984
Original,2.9048414023372287,0.026328885125296516
Original,2.9215358931552586,0.027132320050309047
Original,2.9382303839732886,0.027952709703618368
Original,2.9549248747913186,0.028790319774765368
Original,2.9716193656093486,0.02964539147965327
Original,2.988313856427379,0.030518139826744492
Original,3.005008347245409,0.031408752514129834
Original,3.021702838063439,0.032317389450386334
Original,3.038397328881469,0.0332441828719089
Original,3.055091819699499,0.03418923801037506
Original,3.071786310517529,0.03515263424683235
Original,3.088480801335559,0.03613442667422155
Original,3.1051752921535893,0.03713464797848579
Original,3.1218697829716193,0.03815331054019329
Original,3.1385642737896493,0.03919040865413754
Original,3.1552587646076793,0.04024592076382091
Original,3.1719532554257093,0.04131981161115026
Original,3.1886477462437393,0.0424120342089171
Original,3.2053422370617692,0.043522531554498624
Original,3.2220367278797997,0.044651238017282276
Original,3.2387312186978297,0.04579808034911011
Original,3.2554257095158596,0.04696297828595937
Original,3.2721202003338896,0.04814584472942791
Original,3.2888146911519196,0.04934658551768471
Original,3.3055091819699496,0.05056509881655789
Original,3.32220367278798,0.05180127418168347
Original,3.33889816360601,0.05305499136129796
Original,3.35559265442404,0.054326118925740234
Original,3.37228714524207,0.05561451282332888
Original,3.3889816360601,0.056920014972569745
Original,3.40567612687813,0.05824245200715349
Original,3.42237061769616,0.05958163429269445
Original,3.4390651085141903,0.06093735533247595
Original,3.4557595993322203,0.06230939167359186
Original,3.4724540901502503,0.06369750341496404
Original,3.4891485809682803,0.06510143540497415
Original,3.5058430717863103,0.06652091919933024
Original,3.5225375626043403,0.0679556758296944
Original,3.5392320534223702,0.06940541941113099
Original,3.5559265442404007,0.07086986159224057
Original,3.5726210350584306,0.07234871682656827
Original,3.5893155258764606,0.07384170841822536
Original,3.6060100166944906,0.075348575269375
Original,3.6227045075125206,0.07686907923291297
Original,3.6393989983305506,0.07840301295105236
Original,3.656093489148581,0.0799502080401068
Original,3.672787979966611,0.08151054346409825
Original,3.689482470784641,0.08308395392532976
Original,3.706176961602671,0.08467043808908996
Original,3.722871452420701,0.08627006645239214
Original,3.739565943238731,0.08788298866334027
Original,3.756260434056761,0.08950944009828862
Original,3.7729549248747913,0.0911497475084697
Original,3.7896494156928213,0.09280433355605666
Original,3.8063439065108513,0.09447372007151275
Original,3.8230383973288813,0.09615852987930146
Original,3.8397328881469113,0.09785948705733581
Original,3.8564273789649413,0.0995774155165213
Original,3.8731218697829712,0.10131323581015843
Original,3.8898163606010017,0.10306796010828151
Original,3.9065108514190316,0.10484268529902947
Original,3.9232053422370616,0.10663858420734346
Original,3.9398998330550916,0.1084568949503716
Original,3.9565943238731216,0.11029890847858209
Original,3.9732888146911516,0.11216595438133799
Original,3.9899833055091816,0.1140593850652554
Original,4.006677796327212,0.11598055844277808
Original,4.023372287145242,0.11793081929653478
Original,4.040066777963272,0.11991147951212056
Original,4.056761268781302,0.12192379739736957
Original,4.073455759599332,0.12396895632974603
Original,4.090150250417362,0.1260480429947711
Original,4.106844741235392,0.12816202549697212
Original,4.123539232053422,0.13031173164039334
Original,4.140233722871452,0.1324978276876941
Original,4.156928213689482,0.13472079791498173
Original,4.173622704507513,0.13698092528330003
Original,4.190317195325543,0.13927827354671266
Original,4.207011686143573,0.14161267111088865
Original,4.223706176961603,0.14398369694464047
Original,4.240400667779633,0.14639066882974397
Original,4.257095158597663,0.14883263421149123
Original,4.273789649415693,0.15130836388365135
Original,4.290484140233723,0.15381634870698122
Original,4.307178631051753,0.15635479952035544
Original,4.323873121869783,0.15892165035826544
Original,4.3405676126878125,0.1615145650385272
Original,4.3572621035058425,0.16413094713005483
Original,4.3739565943238725,0.16676795325351496
Original,4.390651085141903,0.16942250960847988
Original,4.407345575959933,0.17209133156047748
Original,4.424040066777963,0.17477094606139337
Original,4.440734557595993,0.1774577166183066
Original,4.457429048414023,0.18014787047048994
Original,4.474123539232053,0.18283752758325833
Original,4.490818030050083,0.1855227310222064
Original,4.507512520868113,0.18819947823328612
Original,4.524207011686143,0.19086375272443706
Original,4.540901502504173,0.1935115556242227
Original,4.557595993322203,0.19613893658296536
Original,4.574290484140233,0.19874202348294528
Original,4.590984974958263,0.20131705043678746
Original,4.607679465776293,0.20386038357723307
Original,4.624373956594324,0.20636854417722925
Original,4.641068447412354,0.20883822868590152
Original,4.657762938230384,0.2112663253230971
Original,4.674457429048414,0.21364992694162097
Original,4.691151919866444,0.21598633994093808
Original,4.707846410684474,0.21827308909723792
Original,4.724540901502504,0.22050791826108251
Original,4.741235392320534,0.22268878696307545
Original,4.757929883138564,0.22481386305855067
Original,4.774624373956594,0.2268815116318594
Original,4.791318864774624,0.2288902804676494
