Layer index,PC1,PC2,Grid x,Grid y,Run index
0,0.24795129452967243,-0.05880255340981457,0,0,0
0,-0.20253105972173205,0.2072998524723939,0,1,0
0,0.18354581861669328,-0.013312457626934601,0,2,0
0,-0.2169714626125848,-0.12677375337182947,1,0,0
0,0.23942378467840533,0.11156464367502075,1,1,0
0,-0.19478870948464455,0.02713599975145389,1,2,0
0,0.22287385832192588,-0.04862737471103643,2,0,0
0,-0.17420651277630753,0.12020936090710149,2,1,0
0,0.08805705890719362,-0.1533340584785845,2,2,0
0,-0.1969297821478898,-0.1308593703980179,0,0,1
0,0.2053551534505186,0.04582597874643535,0,1,1
0,-0.1553194337080148,0.03560236648233691,0,2,1
0,0.21424429264596667,-0.1980077391878398,1,0,1
0,-0.151292873025627,-0.20567205244797265,1,1,1
0,0.2152791520120757,0.025148530006125838,1,2,1
0,-0.22352587866645987,0.05119239981059566,2,0,1
0,0.25129133689294186,0.004554779510651554,2,1,1
0,-0.2153280871845884,0.10995664974755057,2,2,1
0,0.2219358149484553,-0.026313318222296267,0,0,2
0,-0.20799867125057692,-0.00560695811566481,0,1,2
0,0.2406633914388052,-0.11752617541795984,0,2,2
0,-0.18557361949894788,0.0019918523904020238,1,0,2
0,0.2184902618752756,-0.037473866773429725,1,1,2
0,-0.21570775663595493,-0.1318328021583235,1,2,2
0,0.11406721649550201,-0.13754496305604766,2,0,2
0,-0.22632290944307826,0.05993188374981424,2,1,2
0,0.19988885671065187,-0.16876971170125615,2,2,2
0,0.1977787068611765,-0.007582417211786449,0,0,3
0,-0.21444306175623118,-0.023457483350867822,0,1,3
0,0.15952954428066815,-0.1342323644090338,0,2,3
0,-0.20362499447014226,-0.21157641222796744,1,0,3
0,0.22538257479691204,0.051547396206677754,1,1,3
0,-0.19846091947616562,-0.004802732191630461,1,2,3
0,0.22759143421241004,-0.048602758081947736,2,0,3
0,-0.21088733361862816,-0.04844691564693748,2,1,3
0,0.2193286010448407,0.09607588641435955,2,2,3
0,-0.1802213584396022,-0.0665312987440952,0,0,4
0,0.2531728539802901,0.17895763530970585,0,1,4
0,-0.20998485475577236,0.08870616230301416,0,2,4
0,0.23375927546860117,-0.21312576939362057,1,0,4
0,-0.1967657037319768,0.1814354830076774,1,1,4
0,0.17650400161151847,-0.03783597168442862,1,2,4
0,-0.16107301978198701,-0.08686528806412248,2,0,4
0,0.22293372161753156,0.04294531629887526,2,1,4
0,-0.1717197777035628,0.16705665974166448,2,2,4
0,0.2128780094594338,0.09148472444883349,0,0,5
0,-0.21106026112786086,0.111258790505333,0,1,5
0,0.22849952922821257,-0.010722526896244438,0,2,5
0,-0.1915474455764013,-0.04932141437791041,1,0,5
0,0.21186020379155074,0.020108958787830797,1,1,5
0,-0.20888537152293327,0.11435411550440111,1,2,5
0,0.17691612761406086,-0.004078977184543156,2,0,5
0,-0.1997697229609885,-0.08845228034431464,2,1,5
0,0.16013054328080534,-0.16088584032517939,2,2,5
0,0.21187051466116494,0.004655183216726334,0,0,6
0,-0.22298705094325413,0.016893908282523545,0,1,6
0,0.18862282033037345,-0.1482221318819315,0,2,6
0,-0.2159584653689784,0.003870976817743755,1,0,6
