Memory condition,Similarity,Similarity SEM,Memory (tokens),Memory (tokens) SEM
Imagined,0.6423899864795548,0.005365051762301586,0.0,0.0
Gist,0.7906613081758043,0.004762147379974494,1.0,0.0
+1 detail,0.8387822527401798,0.0035829318899370556,9.968,0.139645815933796
+3 details,0.889612099162315,0.003012307339426525,25.552,0.28924369626953556
Full,1.0,0.0,43.328,0.0
