topic,word,weight
Health,kidnapping,48.01474765787973
Health,sled,42.37226441270182
Health,murderers,39.704578439395256
Health,exposure,35.565810636228605
Health,kidnappers,35.03429327217689
Health,deed,33.96268819116274
Health,perpetrators,32.69392018997707
Health,imprisonment,32.019672340438625
Health,adults,31.703745760697988
Health,execution,31.09194340365029
Health,assailants,28.031551404896007
Health,neighbouring,27.356396711709678
Health,trinkets,25.657098206777768
Health,camp,25.62015355100725
Health,ransom,25.589335017479375
Health,testimony,24.296847122058487
Health,tribe,24.01724261326935
Health,courts,23.98773070023688
Health,spree,23.78390534358544
Health,vehicle,23.75093714469373
Health,raids,23.635859107399117
Health,incident,23.4948357512369
Health,labor,23.30173971496979
Health,casualties,23.265611878678342
Health,community,23.147010318677083
Health,gunshot,22.638312505648475
Health,carcasses,22.495277384857882
Health,stomach,22.484738685694186
Health,conviction,22.4690146771382
Health,formation,22.361746947007557
Health,abduction,22.128893434618117
Health,suspects,21.976775057754114
Health,tracker,21.611158252350524
Health,parole,21.55310200260139
Health,settler,21.489124264521344
Health,captivity,21.459770803520623
Health,locality,21.37395278628746
Health,murder,21.264368342659715
Health,culprits,21.196561645769986
Health,foreman,21.14716619687438
Health,suspicion,21.111480835296515
Health,investigators,21.048454493999557
Health,documentary,20.964242320341587
Health,complaint,20.741083939811222
Health,torture,20.647972579040395
Health,controversy,20.47145637860184
Health,cigarettes,20.356971592314082
Health,constable,20.29004548725768
Health,journals,20.114128263148007
Health,prosecutor,20.088400559762274
Health,alcoholism,20.01489515474054
Health,neighbor,19.997963065245894
Health,ranger,19.932231580001403
Health,melee,19.927273560162636
Health,intoxication,19.80864723082656
Health,manslaughter,19.80143526110915
Health,jurisdiction,19.66633332692304
Health,adult,19.603866613752366
Health,suspect,19.47936186866493
Health,vigilantes,19.438618719215157
Health,breed,19.438435575774374
Health,wagons,19.403711537837047
Health,ignorance,19.341604481278267
Health,swords,19.316903435246868
Health,defendants,19.299714545887856
Health,caliber,19.16979029623057
Health,surveyor,19.131415941468713
Health,frostbite,19.068113200066772
Health,hostility,18.89284956870775
Health,assailant,18.81359706857812
Health,characteristics,18.807999710036746
Health,press,18.63753062871587
Health,wrong,18.637458400825594
Health,scalp,18.59458230583246
Health,trips,18.552158997134136
Health,drunkenness,18.550010358210322
Health,advances,18.451514698715854
Health,starting,18.383699794685338
Health,mixture,18.324909622687773
Health,hostages,18.235689804299618
Health,lawsuit,18.178092643951842
Health,proceedings,18.133879077831597
Health,retribution,17.974467228354563
Health,attacker,17.935968851898448
Health,encroachment,17.86233166724123
Health,spit,17.856536324110728
Health,parka,17.848571717711323
Health,murders,17.842503426165493
Health,chain,17.743882472080877
Health,corpse,17.66992332455221
Health,remainder,17.62464498242624
Health,arrests,17.57010920769529
Health,guilt,17.55690757923942
Health,group,17.417430855074368
Health,retrial,17.39369799750816
Health,attitude,17.333288628016252
Health,citizens,17.30922933072258
Health,slaughter,17.227276374763086
Health,disappearances,17.17732538992986
Health,offense,17.144939838050536
Health,gunfire,17.139311334323704
Health,manhunt,17.133821285965727
Health,kidnappings,17.128270764647922
Health,foxes,17.09660019657925
Health,fine,17.07985502319678
Health,skull,17.039825558799453
Health,reaction,17.031162872588837
Health,boyfriend,17.02182751660789
Health,witchcraft,16.946496907809262
Health,outpost,16.929411587497288
Health,judges,16.92000549695585
Health,involvement,16.916967737196106
Health,logger,16.9011555480539
Health,individual,16.861674478234598
Health,recordings,16.83709389235909
Health,consent,16.791330333396225
Health,fantasy,16.767239679006362
Health,determination,16.73536810875743
Health,demands,16.712556626149095
Health,trial,16.7041182929085
Health,tasks,16.694227210056084
Health,captors,16.63452663237589
Health,damages,16.628883577039726
Health,causes,16.611361177995487
Health,suicide,16.597122380133744
Health,shack,16.571180663189285
Health,kilometers,16.568999489445954
Health,climate,16.552268722869286
Health,interview,16.50248503635609
Health,children,16.50236683553605
Health,commission,16.493552475171185
Health,oath,16.449053046706254
Health,examination,16.433283643267664
Health,enforcement,16.41998938867853
Health,frost,16.395354364636493
Health,insult,16.363236209766338
Health,opera,16.332404255712138
Health,violation,16.324213664537442
Health,boss,16.288360116240806
Health,hanging,16.219668644552076
Health,shootings,16.206444115572587
Health,relation,16.202251636713548
Health,threats,16.197389989691327
Health,case,16.179205547178746
Health,neighbour,16.14882244961839
Health,teenager,16.090515389821817
Health,anthropologists,16.038577271441586
Health,acts,16.034929190581448
Health,insanity,16.03027261248742
Health,inability,16.017914134734742
Health,statements,15.964358612718371
Health,women,15.963488597146275
Health,twenties,15.953844280628125
Health,attorney,15.899581685527677
Health,listeners,15.883490365834355
Health,interviews,15.833336393816836
Health,magistrate,15.81883572285807
Health,sentry,15.807542356970254
Health,signing,15.794921459077386
Health,fuel,15.78830027159443
Health,analysis,15.756636639715083
Health,transportation,15.692116356095967
Health,post,15.677929137165767
Health,rounds,15.674193180568619
Health,members,15.61311043397724
Health,aggression,15.60931654467119
Health,conduct,15.583272538574716
Health,grove,15.56401951193503
Health,cheek,15.550030813057782
Health,refusal,15.5359804333809
Health,employee,15.521618030638383
Health,trials,15.516882854594959
Health,viewpoint,15.379620462173845
Health,rapists,15.374342347555695
Health,bandit,15.333720437943843
Health,males,15.315601100139427
Health,welfare,15.25718926020037
Health,flow,15.244046561569919
Health,butt,15.226095607830901
Health,slavery,15.166636009234313
Health,cannibalism,15.151884676159707
Health,motive,15.150987787431905
Health,inuit,15.106120702512113
Health,informants,15.092735970944007
Health,contempt,15.079046066741999
Health,infant,15.0743945392012
Health,allegory,15.042896604810307
Health,total,14.99188442971062
Health,convictions,14.9819643792516
Health,investigations,14.943374775670172
Health,victims,14.93952091898904
Health,trackers,14.924772731709137
Health,episodes,14.924006075262433
Health,perpetrator,14.835827687546935
Health,neighboring,14.826917253281199
Health,expeditions,14.788212023008727
Health,nightfall,14.719974791191136
Health,heap,14.701767376984058
Health,girl,14.673614664787863
Health,knife,14.669960983550803
Health,gunfight,14.652549108020569
Health,accidents,14.640916421046525
Health,resentment,14.630669585363423
Health,pleas,14.62307619945653
Health,trading,14.595020362483375
Health,code,14.584260168500418
Health,findings,14.523044246922604
Health,analyses,14.494033950373055
Health,surroundings,14.395782520134139
Health,histories,14.324041237617307
Health,cruelty,14.318774034665644
Health,qualities,14.282068190727045
Health,tundra,14.248674514526423
Health,year,14.21715283850553
Health,ages,14.206562220417368
Health,publications,14.177002587880358
Health,protests,14.159239231208998
Health,clash,14.153946249258146
Health,gunpoint,14.101753323107502
Health,bandits,14.014403341826107
Health,intentions,14.01086317837624
Health,endurance,13.969095966284069
Health,ammunition,13.952371725610874
Health,death,13.934543176767455
Health,judgement,13.84113795827804
Health,massacre,13.794031906610583
Health,majority,13.724009402155907
Health,legislation,13.652459764756593
Health,revenge,13.641940093913394
Health,reserve,13.604058699340982
Health,police,13.542539645510892
Health,campsite,13.446223013783904
Health,miles,13.413112214003418
Health,example,13.287469663740797
Health,shores,13.078124797753624
Health,tent,13.005143552700561
Health,attackers,12.966551145085594
Health,loggers,12.936206486751217
Health,crime,12.923219804953426
Health,investigation,12.856017928885985
Health,hunting,12.739446197188823
Health,background,12.73545207151502
Health,woman,12.709990842562501
Health,authorities,12.575462600260225
Health,court,12.568635286451217
Health,murderer,12.448297802874581
Health,history,12.223397120560902
Health,adaptation,12.181058668688799
Health,gang,11.971827699858633
Health,girls,11.914280835725219
Health,hunter,11.897103002760332
Health,bodies,11.815862413218165
Health,survivor,11.766476043374869
Health,fort,11.74788334395392
Health,child,11.732087553630237
Health,settlement,11.709734625255432
Health,warrior,11.643504013437559
Health,days,11.547125281732718
Health,events,11.341219524064197
Health,prison,11.296722814760548
Health,body,11.22762468356255
Health,trade,11.140748678269967
Health,pole,11.12704510120918
Health,survivors,11.086163752313533
Health,leader,11.000983358886522
Health,chief,10.917665456208123
Health,rifle,10.89890208116449
Health,custody,10.894385533117177
Health,years,10.798427504058834
Health,band,10.791067359336793
Health,banks,10.756632049357474
Health,injuries,10.445220079269111
Health,film,10.426926292514471
Health,whiskey,10.202846979463295
Health,attack,10.02728620987206
Health,elders,9.957468094898216
Health,camps,9.903909656504338
Health,elder,9.793167955600262
Health,disappearance,9.755000095109366
Health,crimes,9.743455849619039
Health,series,9.562143299447383
Health,wound,9.48763118443974
Health,guns,9.422122978008844
Health,exchange,9.303186017135344
Health,wounds,9.100178629175113
Health,battle,9.053760327192014
Health,evidence,9.022483253792375
Health,journey,9.006394911635931
Health,judgment,9.00380938968633
Health,deaths,8.956575913437016
Health,wagon,8.935891790726807
Health,number,8.924291779763323
Health,father,8.899128718529761
Health,killing,8.889802033210108
Health,drinking,8.839877183556391
Health,weapons,8.802043054019107
Health,caribou,8.792062409524661
Health,traders,8.74974398176024
Health,search,8.722439476705455
Health,justice,8.697026145355201
Health,event,8.686911117271663
Health,animal,8.645169750982522
Health,compensation,8.634389822349023
Health,tribes,8.621648155853908
Health,council,8.5722707417597
Health,supplies,8.566111723872055
Health,clan,8.521909362227412
Health,scout,8.521223795924328
Health,assault,8.498685301186562
Health,similarities,8.476854462546555
Health,imdb,8.433984440135331
Health,violence,8.400431177633452
Health,result,8.393408527956593
Health,liquor,8.374970939161775
Health,hostage,8.3611056749755
Health,attention,8.336758743774535
Health,establishment,8.299338861626401
Health,southeast,8.291379970197916
Health,skins,8.267264868372235
Health,killer,8.199566716220936
Health,cases,8.190492849488896
Health,arrest,8.167058378609832
Health,goods,8.154092942208543
Health,degree,8.127515950573532
Health,jury,8.114610768297629
Health,government,8.108736160323174
Health,tale,8.098318110131094
Health,alcohol,8.091691887328325
Health,wife,8.077952461264584
Health,prisoners,8.034891789697703
Health,kilometres,8.03017753894635
Health,vicinity,8.014869066853844
Health,food,8.011395333861145
Health,attacks,7.9949711138345405
Health,member,7.984359763413865
Health,injury,7.976686256268272
Health,reservation,7.909410289330677
Health,blood,7.898013369882919
Health,starvation,7.766079432606388
Health,remains,7.753095736141163
Health,family,7.74659962096909
Health,woods,7.7089489939649125
Health,months,7.6945246328995
Health,victim,7.679872951749533
Health,laws,7.633947614202014
Health,release,7.600307004102732
Health,duel,7.563662381071734
Health,area,7.538250011108057
Health,shooting,7.529310204924111
Health,autumn,7.508752267748894
Health,trail,7.496341726003561
Health,basis,7.469076684012747
Health,prosecution,7.466631396089564
Health,items,7.434775034595911
Health,meat,7.427431054962735
Health,raid,7.388571383734413
Health,fear,7.3857026576925655
Health,stake,7.377880805418082
Health,carcass,7.347039380305547
Health,road,7.331464803794445
Health,frontier,7.327030503645518
Health,trip,7.284840528745141
Health,missionary,7.258292636322233
Health,treatment,7.226071616515657
Health,farm,7.223835724876183
Health,jail,7.2016314292032995
Health,traditions,7.2010206351794865
Health,witness,7.150697234824852
Health,truck,7.114443364004807
Health,raiders,7.08079824204565
Health,class,7.071151508543914
Health,hospital,7.041543340456076
Health,weeks,6.931458765689238
Health,communities,6.917543970913722
Health,accounts,6.911140140934573
Health,actions,6.91059195782755
Health,nephew,6.897098024430834
Health,punishment,6.8900568301348795
Health,trader,6.834833871400535
Health,ground,6.823544138094863
Health,location,6.786594647848345
Health,variant,6.746896841756241
Health,mission,6.719962479524103
Health,fork,6.713506161733491
Health,intent,6.710474188413458
Health,quantity,6.706852027658664
Health,partner,6.695749902010415
