Epoch,Frac. new words,SEM
1,0.4942449252236776,0.00679122864421779
2,0.4687941614935123,0.007340063379295947
3,0.4606336418298485,0.008538562356476872
4,0.4535025085293177,0.010217353418673403
5,0.4413979635925389,0.010750158428294474
6,0.40571991994827683,0.016296549428220015
7,0.3755483997174183,0.01842655879583622
8,0.2996948731158643,0.021069513231642873
9,0.233283681061895,0.023079273017713516
10,0.18980070018213357,0.023596826759927376
