Retention interval,Distortion type,Fraction of recalled,SEM
15 min,No distortion,0.3454545454545454,0.06428243465332249
1 week,No distortion,0.19999999999999998,0.054997194092287024
6 months,No distortion,0.14814814814814814,0.0392837100659193
15 min,Minor distortion,0.3818181818181818,0.07713892158398698
1 week,Minor distortion,0.39999999999999997,0.054997194092287024
6 months,Minor distortion,0.25925925925925924,0.0523782800878924
15 min,Major distortion,0.2727272727272727,0.03856946079199349
1 week,Major distortion,0.39999999999999997,0.06285393610547088
6 months,Major distortion,0.5925925925925926,0.1047565601757848
