topic,word,weight
Politics,possibilities,43.53837538925029
Politics,politician,33.69987801829028
Politics,query,30.24431941269651
Politics,chorus,29.748344089863735
Politics,chamber,28.814097188129438
Politics,election,28.613440834206653
Politics,meanings,27.788822802249857
Politics,politics,25.16187629986411
Politics,servants,24.637278379902643
Politics,program,24.007332180516073
Politics,policy,23.470859738468015
Politics,classic,23.18812962244772
Politics,grain,23.137901055243713
Politics,guest,23.096035916933975
Politics,situations,23.022457255984627
Politics,proposal,22.932495247623795
Politics,question,22.350684122353716
Politics,riddles,21.976727941502315
Politics,bust,21.88873237190253
Politics,pairs,21.808346256294488
Politics,chair,21.231256254960353
Politics,results,21.220833392987277
Politics,tower,20.71575591629709
Politics,tapping,20.69301667000971
Politics,line,20.648952523763494
Politics,jokes,20.53887172127716
Politics,meme,20.313793444729665
Politics,blows,20.16782722421219
Politics,phrase,20.104852205006885
Politics,hamlet,20.05306390225633
Politics,poem,20.02292112996406
Politics,imagination,19.809495223079065
Politics,politicians,19.742834597893687
Politics,scuffle,19.664844742600216
Politics,clue,19.622266011372904
Politics,inquiry,19.550073665360944
Politics,riding,19.354189898152605
Politics,license,19.173256956237378
Politics,panther,19.15851838034721
Politics,fiddle,19.103470985522062
Politics,setup,19.05527324479056
Politics,painter,19.011952298616347
Politics,traveller,18.96321828818191
Politics,limerick,18.9603448870687
Politics,planet,18.931506545095232
Politics,favour,18.81917343279928
Politics,conference,18.760283245171934
Politics,exploits,18.714037456626603
Politics,delight,18.61627545433198
Politics,reference,18.582881618553316
Politics,prince,18.571411388901453
Politics,adventurers,18.569415508939752
Politics,statue,18.569338462377047
Politics,palace,18.471777978068587
Politics,explanations,18.42085016224619
Politics,dread,18.284833621047234
Politics,dozen,18.182894661793977
Politics,nonsense,18.091002299187856
Politics,unity,17.98414179610281
Politics,mate,17.975509496777057
Politics,leave,17.97242093217938
Politics,answers,17.882624975914066
Politics,tribute,17.85692549843885
Politics,contrast,17.799565334197016
