PCA plot,Model,series,PC1,PC2,Generation,Node name
Combined,GPT-2,Grandparent,0.08834665297031362,0.04893866246051734,0,
Combined,GPT-2,Grandparent,0.06348274836055656,0.13781332167464044,0,
Combined,GPT-2,Parent,0.05524030980129459,-0.04247513042091439,1,
Combined,GPT-2,Parent,0.0618089850021028,0.027362431909250456,1,
Combined,GPT-2,Child,0.03670189924581764,-0.061754035443003334,2,
Combined,GPT-2,Child,0.06541017060833412,-0.006699223535485894,2,
Combined,GPT-2,Grandparent,0.06711872470327848,-0.10698761398168341,0,
Combined,GPT-2,Grandparent,-0.6358479982933971,0.030589055862268358,0,
Combined,GPT-2,Parent,-0.08314654361758256,-0.1729942345376937,1,
Combined,GPT-2,Parent,0.06853238948452153,0.11224348337619164,1,
Combined,GPT-2,Grandparent,0.06154212429064136,0.05609579912602877,0,
Combined,GPT-2,Grandparent,-0.05601810906506211,-0.18487692795436628,0,
Combined,GPT-2,Parent,-0.5235406175853567,-0.02773612341798317,1,
Combined,GPT-2,Parent,0.021832208119984396,-0.05757794094527325,1,
Combined,GPT-2,Child,0.07873101108249989,0.016423029385775816,2,
Combined,GPT-2,Child,0.05930023748673115,-0.00668429624272945,2,
Combined,GPT-2,Grandparent,0.10871752437606244,0.10503715381431895,0,
Combined,GPT-2,Grandparent,0.06572328485674285,-0.0018134613059216562,0,
Combined,GPT-2,Parent,0.07381224895267946,0.06547025434273782,1,
Combined,GPT-2,Parent,0.06971938131188166,0.11336048478897842,1,
Combined,GPT-2,Grandparent,0.05551889627014827,0.1192120029139104,0,
Combined,GPT-2,Grandparent,0.10882786960915239,0.00336147918554977,0,
Combined,GPT-2,Parent,0.08826068993046111,-0.002548289544376816,1,
Combined,GPT-2,Parent,0.06730068735228856,0.11543947416030884,1,
Combined,GPT-2,Child,-0.45430029774987857,0.009113845521449393,2,
Combined,GPT-2,Child,0.11557033107909565,0.0124132209897815,2,
Combined,GPT-2,Grandparent,0.04765897912407279,-0.020874477609789725,0,
Combined,GPT-2,Grandparent,0.027421737661685163,-0.14822427161102963,0,
Combined,GPT-2,Parent,0.10006765489330952,0.03388439729136785,1,
Combined,GPT-2,Parent,-0.019997108962241068,-0.05555548506438329,1,
Combined,GPT-2,Grandparent,0.1014033717511116,0.02946997369215704,0,
Combined,GPT-2,Grandparent,0.1143492154877659,-0.05831719129129116,0,
Combined,GPT-2,Parent,0.10018807117908754,-0.03022580923191592,1,
Combined,GPT-2,Parent,0.09704745787103772,0.013453580799779036,1,
Combined,GPT-2,Child,-0.43431795742538437,0.0031739843085942226,2,
Combined,GPT-2,Child,0.04126818084144907,0.04817893588943216,2,
Combined,GPT-2,Grandparent,0.09887345423005896,0.032499491694200695,0,
Combined,GPT-2,Grandparent,0.05653139908271773,-0.0154063242078795,0,
Combined,GPT-2,Parent,0.08661167350484676,0.05242030477656475,1,
Combined,GPT-2,Grandparent,0.07022508639533495,-0.06676604103478147,0,
Combined,GPT-2,Grandparent,-0.44419714044166797,-0.02147502182457297,0,
Combined,GPT-2,Parent,0.11783335309825073,0.0209316046721654,1,
Combined,GPT-2,Child,0.00801007305259751,-0.1120105953843001,2,
Combined,GPT-2,Child,0.08947975054046191,-0.003816866813642545,2,
Combined,GPT-2,Grandparent,0.04612833425041406,0.14590181370646138,0,
Combined,GPT-2,Grandparent,0.09033315254572405,0.09475244665893459,0,
Combined,GPT-2,Parent,0.08951507680634264,0.013829914481418527,1,
Combined,GPT-2,Parent,-0.0020283638485154654,0.17637540553209843,1,
Combined,GPT-2,Grandparent,0.10725885691562569,-0.025447301203397863,0,
Combined,GPT-2,Grandparent,0.08477317334159692,-0.04685113178368691,0,
Combined,GPT-2,Parent,0.10229291876269096,-0.04324770233371259,1,
Combined,GPT-2,Parent,0.047845852642174114,0.027120864974471835,1,
Combined,GPT-2,Child,0.09680790778829736,0.08070589036486724,2,
Combined,GPT-2,Child,0.1081832288575703,0.014158530173185285,2,
Combined,GPT-2,Grandparent,0.08534456914142786,0.04744295294896721,0,
Combined,GPT-2,Grandparent,-0.5245432572050054,0.06170623478941238,0,
Combined,GPT-2,Parent,0.0469726915515545,-0.02834817439570284,1,
Combined,GPT-2,Parent,-0.06677123128519998,-0.14195026162803326,1,
Combined,GPT-2,Grandparent,0.06599514738527147,0.011403346849819767,0,
Combined,GPT-2,Grandparent,-0.012142040556159776,-0.13505918183471913,0,
Combined,GPT-2,Parent,0.07859824081727294,-0.03810800688525573,1,
Combined,GPT-2,Parent,-0.5988230370666066,0.0005647602003166484,1,
Combined,GPT-2,Child,0.08622402974600842,0.04976188301906681,2,
Combined,GPT-2,Child,0.10604132097553723,-0.016612545679756317,2,
Combined,GPT-2,Grandparent,0.08130200540552761,-0.034006725575212844,0,
Combined,GPT-2,Grandparent,0.11615228744918436,0.03661735979032892,0,
Combined,GPT-2,Parent,0.12127668261079949,0.0669153325593904,1,
Combined,GPT-2,Parent,0.08225474361708157,-0.08472927945910255,1,
Combined,GPT-2,Grandparent,0.034556835064878354,0.07326572639573536,0,
Combined,GPT-2,Grandparent,0.03740931995183673,-0.07503237096560171,0,
Combined,GPT-2,Parent,0.09253858778331976,0.01610411046107146,1,
Combined,GPT-2,Parent,0.09349640416736849,0.041469744539652006,1,
Combined,GPT-2,Child,0.029892612305410043,0.04730028556117598,2,
Combined,GPT-2,Child,-0.4488243208504171,0.0009732598437960649,2,
Combined,GPT-2,Grandparent,0.061693196825819634,-0.031558200892504114,0,
Combined,GPT-2,Grandparent,0.031007762840963113,0.03228667843296907,0,
Combined,GPT-2,Parent,0.05116844047098519,-0.10839999743206041,1,
Combined,GPT-2,Parent,0.06733136903370505,-0.06967708099640102,1,
Combined,GPT-2,Grandparent,0.07592327982725948,-0.11947780744806002,0,
Combined,GPT-2,Grandparent,0.00991005488908616,-0.11180602568137737,0,
Combined,GPT-2,Parent,0.10900787018806424,0.009296314679681894,1,
Combined,GPT-2,Parent,0.08632874810221425,-0.13628377701486963,1,
Combined,GPT-2,Child,0.055282870159725966,-0.024533262612055056,2,
Combined,GPT-2,Child,0.052298173027889895,0.011429770379642119,2,
Combined,GPT-2,Grandparent,-0.6401819277310299,0.03783087061771571,0,
Combined,GPT-2,Grandparent,0.08577132529612295,0.09539232369965166,0,
Combined,GPT-2,Parent,0.10912815270666983,0.08116401361381066,1,
Combined,GPT-2,Parent,0.04646811126960313,0.10534560965923953,1,
Combined,GPT-2,Grandparent,0.09984879085826806,-0.040065199072896025,0,
Combined,GPT-2,Grandparent,-0.5924496923593454,0.007587086907681176,0,
Combined,GPT-2,Parent,0.03788662803655013,-0.09998746565016414,1,
Combined,GPT-2,Parent,-0.08008326080193341,-0.23265389463702602,1,
Combined,GPT-2,Child,0.0902829766371719,-0.09828059750873348,2,
Combined,GPT-2,Child,0.11330377922248619,0.08279179933017254,2,
Combined,GPT-2,Grandparent,0.05848770143066154,-0.029275903208834917,0,
Combined,GPT-2,Grandparent,0.08796144256543185,0.135008749700756,0,
Combined,GPT-2,Parent,0.022113568762864445,0.08130038911262644,1,
Combined,GPT-2,Parent,0.03754987009742998,0.17758288952067539,1,
Combined,GPT-2,Grandparent,0.01783840429930373,-0.03964686500117051,0,
Combined,GPT-2,Grandparent,-0.48382358665582487,0.055443838757289386,0,
Combined,GPT-2,Parent,0.06761615106499926,0.06435651298452887,1,
Combined,GPT-2,Parent,0.03507824738332036,0.025421789326769386,1,
Combined,GPT-2,Child,0.07564246672610216,-0.04849605501113393,2,
Combined,GPT-2,Child,0.1426803267446738,0.04210061434649353,2,
Combined,GPT-2,Grandparent,0.0820127208574945,-0.07706462790057322,0,
Combined,GPT-2,Grandparent,0.0748789755510169,-0.13167060034891995,0,
Combined,GPT-2,Parent,0.10582682897081504,0.06533109246213889,1,
Combined,GPT-2,Parent,0.049388820337243365,-0.050449061708793985,1,
Combined,GPT-2,Grandparent,0.06463700224377267,-0.08756503154781285,0,
Combined,GPT-2,Grandparent,-0.530618498018903,-0.016312696059915536,0,
Combined,GPT-2,Parent,0.05124054258482766,-0.08196373118656249,1,
Combined,GPT-2,Parent,0.03558319808024689,-0.06498458097599802,1,
