topic,word,weight
Nature,things,7.453349852793088
Nature,potato,7.435965841396141
Nature,flood,7.403229744861141
Nature,language,7.394032812323328
Nature,lodge,7.388145771905452
Nature,fort,7.387739745166174
Nature,silver,7.3581342474768805
Nature,hospitality,7.339178094692775
Nature,page,7.301870076559293
Nature,mine,7.297285661454986
Nature,morning,7.284409620257005
Nature,cattle,7.282161457186554
Nature,chiefs,7.253944087804427
Nature,bones,7.242112437717444
Nature,trees,7.208874952094759
Nature,medicine,7.108395091698799
Nature,ancestors,7.056122617790993
Nature,site,7.052306074212244
Nature,mines,7.002970387343055
Nature,cross,6.999305090702181
Nature,enemy,6.980472985705186
Nature,camp,6.941973239916273
Nature,storyteller,6.937288898611935
Nature,guidance,6.929420771012339
Nature,robbery,6.902154133738056
Nature,explosion,6.872652706531356
Nature,dreams,6.861079648291707
Nature,contact,6.838927046346895
Nature,window,6.809313786185142
Nature,homes,6.781758321886921
Nature,respect,6.767076457345448
Nature,none,6.766131204104208
Nature,variant,6.750461114334646
Nature,eyes,6.740540778360598
Nature,south,6.7405105248532
Nature,sack,6.672026056135412
Nature,intruders,6.667828548526172
Nature,shirts,6.663568758894412
Nature,animals,6.65883653329585
Nature,plenty,6.652783517732609
Nature,manuscript,6.577449329828593
Nature,smallpox,6.5221871744562625
Nature,sight,6.5176337024538
Nature,rivers,6.514631756399707
Nature,mythology,6.490995282760869
Nature,cycle,6.490237796145892
Nature,lakes,6.463347646533339
Nature,ships,6.440396678054798
Nature,circle,6.426148374514573
Nature,friends,6.414252411663877
Nature,berries,6.338807788310042
Nature,lantern,6.318642803784541
Nature,herds,6.302722390860038
Nature,harmony,6.2856180675831625
Nature,years,6.240265132013228
Nature,alcohol,6.236147581684454
Nature,mound,6.194331421737772
Nature,cliff,6.149060583496761
Nature,evening,6.120972547732482
Nature,sign,6.0778973801194045
Nature,arrival,6.060422764091774
Nature,sources,6.052786043411866
Nature,generation,6.027902566702562
Nature,forests,6.020332969030276
Nature,population,5.993581926747566
Nature,tide,5.98309932177564
Nature,totem,5.977169153183612
Nature,scouts,5.94238184670441
Nature,feet,5.9318495208640565
Nature,villages,5.910797938615156
Nature,expedition,5.8663438452640015
