PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,GPT-2,"grid position (2, 1)",0.07579920522698408,-0.013573296304880111,2,1,
Combined,GPT-2,"grid position (2, 2)",0.04262443014226373,-0.09129818224352208,2,2,
Combined,GPT-2,"grid position (0, 0)",-0.7646431676087879,0.054048574780443163,0,0,
Combined,GPT-2,"grid position (0, 1)",-0.08312565102008397,-0.17780014813793912,0,1,
Combined,GPT-2,"grid position (0, 2)",0.010137686725983436,-0.07754119270922424,0,2,
Combined,GPT-2,"grid position (1, 0)",0.08968242256868199,0.01585232585687229,1,0,
Combined,GPT-2,"grid position (1, 1)",0.06721072797360451,-0.028217958263630556,1,1,
Combined,GPT-2,"grid position (1, 2)",0.07743296002920658,0.05939111821233221,1,2,
Combined,GPT-2,"grid position (2, 0)",0.08364807428390193,0.024287213727941293,2,0,
Combined,GPT-2,"grid position (2, 1)",0.08625649366103637,0.0052340567825789625,2,1,
Combined,GPT-2,"grid position (2, 2)",0.07553194056122933,0.03696489071501448,2,2,
Combined,GPT-2,"grid position (0, 0)",0.06475704889788957,-0.08399716077471803,0,0,
Combined,GPT-2,"grid position (0, 1)",0.039876410011036006,-0.10216464967817308,0,1,
Combined,GPT-2,"grid position (0, 2)",0.06125982249802636,0.03693715195414663,0,2,
Combined,GPT-2,"grid position (1, 0)",0.09902051078523527,-0.05108060349935438,1,0,
Combined,GPT-2,"grid position (1, 1)",0.05170545946970823,-0.005452833784929977,1,1,
Combined,GPT-2,"grid position (1, 2)",0.08438840072003606,0.05554587563146825,1,2,
Combined,GPT-2,"grid position (2, 0)",0.04902706026806182,-0.012208285935565404,2,0,
Combined,GPT-2,"grid position (2, 1)",0.015020668990166325,-0.024124537202356792,2,1,
Combined,GPT-2,"grid position (2, 2)",-0.6652627255891015,0.05687515094956443,2,2,
Combined,GPT-2,"grid position (0, 0)",0.0851899442613596,0.10244739683146108,0,0,
Combined,GPT-2,"grid position (0, 1)",0.05867511127681878,0.04993267067888363,0,1,
Combined,GPT-2,"grid position (0, 2)",0.02994938126718054,0.03510176189275129,0,2,
Combined,GPT-2,"grid position (1, 0)",-0.6186428795036232,0.051332857598582006,1,0,
Combined,GPT-2,"grid position (1, 1)",0.027434641891354625,-0.09418403734199499,1,1,
Combined,GPT-2,"grid position (1, 2)",0.04288918608676723,-0.07127243605324823,1,2,
Combined,GPT-2,"grid position (2, 0)",0.010555403084245586,-0.057700393291842664,2,0,
Combined,GPT-2,"grid position (2, 1)",0.07441005853926322,-0.0282801952362131,2,1,
Combined,GPT-2,"grid position (2, 2)",0.11408533497424503,0.023849522509468663,2,2,
Combined,GPT-2,"grid position (0, 0)",4.176573726238665e-05,-0.014922001847230816,0,0,
Combined,GPT-2,"grid position (0, 1)",0.0035125490556633786,-0.06433476638333381,0,1,
Combined,GPT-2,"grid position (0, 2)",0.042344576534457175,-0.16370041393953882,0,2,
Combined,GPT-2,"grid position (1, 0)",0.10759872487085069,0.03474191613842514,1,0,
Combined,GPT-2,"grid position (1, 1)",0.03130147477088096,-0.05179713042327174,1,1,
Combined,GPT-2,"grid position (1, 2)",-0.479068348940679,-0.007898169236395315,1,2,
Combined,GPT-2,"grid position (2, 0)",0.11362454562757823,0.06137468632788737,2,0,
Combined,GPT-2,"grid position (2, 1)",0.09348568604434693,0.08549490503641351,2,1,
Combined,GPT-2,"grid position (2, 2)",0.05632397010572687,-0.022184074299508715,2,2,
Combined,GPT-2,"grid position (0, 0)",0.06746069236599565,-0.06407876248596181,0,0,
Combined,GPT-2,"grid position (0, 1)",0.07500800953160139,0.0016582403024458662,0,1,
Combined,GPT-2,"grid position (0, 2)",-0.09123364151570804,-0.23183110064223952,0,2,
