PCA plot,Model,series,PC1,PC2,Grid x,Grid y,Node name
Combined,Our model,"grid position (0, 1)",0.26386882342309576,0.12443535614585666,0,1,
Combined,Our model,"grid position (0, 2)",0.16919832127004136,0.40511916682605303,0,2,
Combined,Our model,"grid position (1, 0)",0.03502666279402464,-0.1852005107167192,1,0,
Combined,Our model,"grid position (1, 1)",0.03775231342019654,-0.019145338677805556,1,1,
Combined,Our model,"grid position (1, 2)",-0.16056178447532765,0.2256323574109491,1,2,
Combined,Our model,"grid position (2, 0)",-0.07981490069499711,-0.27796987180621496,2,0,
Combined,Our model,"grid position (2, 1)",0.04226345878105418,-0.19544982355347396,2,1,
Combined,Our model,"grid position (2, 2)",-0.12977528866224508,0.009908473409147658,2,2,
Combined,Our model,"grid position (0, 0)",0.37817211818956004,-0.011932790685357205,0,0,
Combined,Our model,"grid position (0, 1)",0.3634467476342818,0.18759468151780806,0,1,
Combined,Our model,"grid position (0, 2)",0.14202321823521344,0.4340516528828224,0,2,
Combined,Our model,"grid position (1, 0)",0.053234112114134695,-0.1867283458559714,1,0,
Combined,Our model,"grid position (1, 1)",0.07043063289151727,-0.06041857725180346,1,1,
Combined,Our model,"grid position (1, 2)",-0.15773645576540088,0.1417664446225822,1,2,
Combined,Our model,"grid position (2, 0)",-0.11169951244893744,-0.2105526995859944,2,0,
Combined,Our model,"grid position (2, 1)",-0.12421457761458492,-0.04710778352284595,2,1,
Combined,Our model,"grid position (2, 2)",-0.3789282111880554,0.15859694195661733,2,2,
Combined,Our model,"grid position (0, 0)",0.2173608709423318,-0.1251856308724737,0,0,
Combined,Our model,"grid position (0, 1)",0.15115943426957026,0.015362583568396988,0,1,
Combined,Our model,"grid position (0, 2)",-0.15273117583941148,0.123123174172731,0,2,
Combined,Our model,"grid position (1, 0)",-0.030627708563824085,-0.2818846843805554,1,0,
Combined,Our model,"grid position (1, 1)",0.0636970082293168,-0.13918730181228292,1,1,
Combined,Our model,"grid position (1, 2)",-0.1854783038342177,0.08878689835029503,1,2,
Combined,Our model,"grid position (2, 0)",-0.15695581195909034,-0.34224032357390216,2,0,
Combined,Our model,"grid position (2, 1)",-0.1584262689403794,-0.15277970370820712,2,1,
Combined,Our model,"grid position (2, 2)",-0.3653349722506744,0.14556552741257028,2,2,
Combined,Our model,"grid position (0, 0)",0.34734514099393626,-0.023262131930424153,0,0,
Combined,Our model,"grid position (0, 1)",0.2549180644310665,0.11180871924993836,0,1,
